date,open,high,low,close,volume,key,ticker,market,label
2024-02-22,200824.3460036057,205734.4767127404,198369.28064903847,204261.4375,201347,LGIT,011070.KS,KR,LG이노텍
2024-02-23,206225.4871987952,206225.4871987952,200824.3434864457,203770.421875,118207,LGIT,011070.KS,KR,LG이노텍
2024-02-26,205734.46893916465,205734.46893916465,201315.35146791767,202788.390625,86619,LGIT,011070.KS,KR,LG이노텍
2024-02-27,202788.4066722973,203279.41976351352,198369.28885135136,199842.328125,99567,LGIT,011070.KS,KR,LG이노텍
2024-02-28,197878.2678734756,201806.3724466464,197387.2548018293,201315.359375,82189,LGIT,011070.KS,KR,LG이노텍
2024-02-29,199842.32046720287,200333.333539604,196405.22896039605,198369.28125,123160,LGIT,011070.KS,KR,LG이노텍
2024-03-04,200824.34630335364,201806.3724466464,197878.2678734756,201315.359375,100807,LGIT,011070.KS,KR,LG이노텍
2024-03-05,198860.2914883863,205243.4613386308,198860.2914883863,200824.34375,80937,LGIT,011070.KS,KR,LG이노텍
2024-03-06,197878.2670911528,198860.293230563,183147.875,183147.875,659730,LGIT,011070.KS,KR,LG이노텍
2024-03-07,184228.11693548388,185897.56149193548,183344.2933467742,185701.15625,175005,LGIT,011070.KS,KR,LG이노텍
2024-03-08,185799.3416975636,186879.57042836337,184719.1129667638,185406.53125,181259,LGIT,011070.KS,KR,LG이노텍
2024-03-11,184817.3156266033,192477.11935608005,184817.3156266033,191396.890625,197549,LGIT,011070.KS,KR,LG이노텍
2024-03-12,191593.303999682,193360.9510893766,187566.9967398219,192968.140625,129448,LGIT,011070.KS,KR,LG이노텍
2024-03-13,193950.15853482555,194735.7794301565,191396.890625,191396.890625,89346,LGIT,011070.KS,KR,LG이노텍
2024-03-14,191004.0804129755,191102.28302501305,188058.00205185,188450.8125,152179,LGIT,011070.KS,KR,LG이노텍
2024-03-15,188941.82265666488,190120.25398300585,184915.515625,184915.515625,158352,LGIT,011070.KS,KR,LG이노텍
2024-03-18,186388.5650453232,187075.9833568708,184915.5258062927,186879.578125,70661,LGIT,011070.KS,KR,LG이노텍
2024-03-19,187468.790746903,187959.80381852924,185013.7253887717,186290.359375,120051,LGIT,011070.KS,KR,LG이노텍
2024-03-20,187763.39625585024,189629.2459048362,186388.5596723869,188843.625,139146,LGIT,011070.KS,KR,LG이노텍
2024-03-21,190316.67238267147,190807.68546931408,187959.809566787,190414.875,142744,LGIT,011070.KS,KR,LG이노텍
2024-03-22,187370.58631107069,190022.0568720764,186486.76279073543,188941.828125,136236,LGIT,011070.KS,KR,LG이노텍
2024-03-25,189236.44603535024,191986.1193560507,187370.5962820178,187861.609375,116268,LGIT,011070.KS,KR,LG이노텍
2024-03-26,188745.41879240607,191789.69974067068,188058.00051376567,188156.203125,131638,LGIT,011070.KS,KR,LG이노텍
2024-03-27,187566.98825718687,191298.6875,187272.380422228,191298.6875,91831,LGIT,011070.KS,KR,LG이노텍
2024-03-28,192477.1170886076,195226.79018987343,191396.8883702532,193950.15625,147529,LGIT,011070.KS,KR,LG이노텍
2024-03-29,194342.96255401627,194735.7729886884,190709.46603329945,193164.53125,87558,LGIT,011070.KS,KR,LG이노텍
2024-04-01,195226.78713592235,203770.4141383496,195128.58452669904,202297.375,244842,LGIT,011070.KS,KR,LG이노텍
2024-04-02,201315.3568154034,203770.4221424205,199351.30455378973,200824.34375,115148,LGIT,011070.KS,KR,LG이노텍
2024-04-03,198860.29098903167,198860.29098903167,194637.57863716592,194735.78125,119435,LGIT,011070.KS,KR,LG이노텍
2024-04-04,197387.25283375315,198860.29203400505,192673.52739294712,194932.1875,127761,LGIT,011070.KS,KR,LG이노텍
2024-04-05,192182.52423695545,195914.2237367021,189236.44568452385,193851.96875,112745,LGIT,011070.KS,KR,LG이노텍
2024-04-08,196110.6208155488,202788.39858993905,192378.9214710366,201315.359375,182774,LGIT,011070.KS,KR,LG이노텍
2024-04-09,201315.3552498738,203279.40749621403,194048.3619384149,194539.375,149097,LGIT,011070.KS,KR,LG이노텍
2024-04-11,190709.4759074642,194146.56738880367,187566.9922673824,192084.3125,144876,LGIT,011070.KS,KR,LG이노텍
2024-04-12,195816.0132735149,200333.333539604,192575.32699566832,198369.28125,192191,LGIT,011070.KS,KR,LG이노텍
2024-04-15,196405.2173360448,197878.25646606507,192771.72081532792,193164.53125,110441,LGIT,011070.KS,KR,LG이노텍
2024-04-16,189531.04042461576,190513.0665408055,184915.5176785241,185308.328125,171290,LGIT,011070.KS,KR,LG이노텍
2024-04-17,185308.3359502309,187075.98303401683,180791.015625,180791.015625,133239,LGIT,011070.KS,KR,LG이노텍
